player,missed_1st_made_2nd,missed_first,made_1st_made_2nd,made_first
A.J. Price,21,28,62,77
Aaron Brooks,69,83,295,345
Aaron Gordon,27,38,53,72
Aaron Gray,32,65,51,87
Aaron Harrison,2,3,0,3
Aaron Williams,3,4,12,14
Acie Law,22,26,56,70
Adam Morrison,22,29,43,56
Adonal Foyle,7,16,8,15
Adreian Payne,13,16,13,18
Adrian Griffin,2,3,6,9
Al Harrington,122,165,345,464
Al Horford,155,198,400,521
Al Jefferson,228,306,541,729
Al Thornton,86,110,239,303
Al-Farouq Aminu,77,105,195,262
Alan Anderson,24,29,111,134
Alan Henderson,2,5,10,14
Alan Williams,2,3,2,3
Alando Tucker,7,7,15,19
Alec Burks,91,115,223,278
Alex Acker,0,2,2,3
Alex Len,27,40,82,125
Alex Stepheson,0,3,2,2
Alexander Johnson,25,36,42,54
Alexey Shved,38,44,90,118
Alexis Ajinca,31,33,79,89
Allan Ray,5,7,14,16
Allen Crabbe,12,13,29,35
Allen Iverson,149,182,530,650
Alonzo Gee,63,88,197,245
Alonzo Mourning,50,75,55,97
Alvin Williams,0,1,1,1
Amar'e Stoudemire,57,73,160,200
Amare Stoudemire,271,340,919,1142
Amir Johnson,113,169,221,317
Anderson Varejao,150,231,261,376
Andray Blatche,137,177,319,444
Andre Brown,5,12,5,13
Andre Drummond,163,413,96,249
Andre Emmett,2,2,1,2
Andre Iguodala,345,496,752,990
Andre Miller,169,211,680,831
Andre Owens,4,5,8,10
Andre Roberson,21,32,14,31
Andrea Bargnani,119,145,518,601
Andrei Kirilenko,164,222,472,605
Andres Nocioni,52,66,198,246
Andrew Bogut,134,271,177,321
Andrew Bynum,156,211,349,486
Andrew Goudelock,2,2,7,7
Andrew Nicholson,17,23,65,79
Andrew Wiggins,93,116,269,348
Andris Biedrins,69,147,96,147
Anfernee Hardaway,1,1,3,3
Antawn Jamison,190,266,499,682
Anthony Bennett,17,25,31,42
Anthony Brown,1,1,7,8
Anthony Carter,22,26,51,62
